iter	Passed	Remaining
1510	82766	17199
1511	82830	17146
1512	82887	17092
1513	82944	17038
1514	83009	16985
1515	83067	16931
1516	83132	16878
1517	83195	16825
1518	83288	16778
1519	83351	16725
1520	83413	16671
1521	83474	16618
1522	83534	16564
1523	83597	16511
1524	83663	16458
1525	83725	16404
1526	83798	16353
1527	83859	16299
1528	83917	16245
1529	83977	16191
1530	84039	16138
1531	84105	16085
1532	84177	16033
1533	84241	15980
1534	84304	15927
1535	84366	15873
1536	84427	15819
1537	84484	15765
1538	84548	15711
1539	84610	15658
1540	84671	15604
1541	84735	15551
1542	84800	15498
1543	84863	15444
1544	84924	15390
1545	85008	15341
1546	85078	15288
1547	85144	15235
1548	85218	15184
1549	85287	15131
1550	85353	15078
1551	85418	15025
1552	85491	14973
1553	85571	14922
1554	85645	14870
1555	85725	14820
1556	85797	14767
1557	85876	14716
1558	85947	14664
1559	86022	14612
1560	86088	14559
1561	86154	14506
1562	86224	14453
1563	86303	14402
1564	86371	14349
1565	86435	14295
1566	86501	14242
1567	86562	14187
1568	86623	14133
1569	86695	14081
1570	86775	14029
1571	86845	13977
1572	86903	13922
1573	86956	13866
1574	87016	13812
1575	87076	13757
1576	87145	13704
1577	87213	13651
1578	87278	13597
1579	87348	13544
1580	87413	13490
1581	87475	13436
1582	87555	13384
1583	87621	13331
1584	87692	13278
1585	87754	13224
1586	87823	13170
1587	87892	13117
1588	87970	13065
1589	88047	13013
1590	88120	12960
1591	88194	12907
1592	88265	12854
1593	88342	12802
1594	88411	12748
1595	88478	12695
1596	88547	12641
1597	88612	12587
1598	88675	12533
1599	88732	12478
1600	88796	12423
1601	88872	12371
1602	88941	12317
1603	89009	12263
1604	89071	12209
1605	89127	12153
1606	89185	12098
1607	89248	12044
1608	89311	11989
1609	89372	11934
1610	89432	11879
1611	89495	11825
1612	89559	11770
1613	89622	11716
1614	89689	11662
1615	89752	11607
1616	89820	11553
1617	89887	11499
1618	89948	11444
1619	90015	11390
1620	90079	11336
1621	90136	11280
1622	90191	11225
1623	90258	11171
1624	90316	11115
1625	90377	11060
